id,date,title,show,number,duration,description
3sYJrOhdJCMMi5kzHE5Jtu,2018-02-06,Introducing: Armchair Expert with Dax Shepard,,1,213,"What qualifies me for such an endeavor? More than a decade of sobriety, a degree in Anthropology and four years of improv training. I will attempt to discover human ""truths"" without any laboratory work, clinical trials or data collection. I will be, in the great tradition of 16th-century scientists, an Armchair Expert."
7d3NdDcjg1jQ7QBIt5gdpC,2018-02-14,Kristen Bell,,2,7243,"Kristen Bell (The Good Place, Veronica Mars, Frozen, Bad Moms) is an actress, singer, philanthropist and married to the most handsome man in the universe. In this inaugural episode of Armchair Expert, Kristen and Dax discuss what makes their marriage work and Dax recounts why he assumed Kristen had breast implants for the first three months of dating. Kristen explains her life philosophy and how it dictates her every decision and she warns people of why they should never sit next to her in a movie. The two of them question their impact on social media and Dax reveals the worst thing he has ever done."
1nvCn8IbIabp7gwfQE6ntd,2018-02-14,Ashton Kutcher,,3,7494,"Ashton Kutcher (The Ranch, That 70's Show) is an actor, investor and the prime person Dax credits for his break into Hollywood. In this episode of Armchair Expert, Ashton and Dax discuss their time on Punk'd together, feeling stuck in the cultural zeitgeist as one particular role and the sisyphean climb to satisfaction. Ashton discusses commerce, art, and the importance of social influence in entertainment. They, also, talk about what it's like to be married to powerhouse ladies, the difference between pity and compassion and they delve deep into their mutual struggle against balding."
3FotRSw3CRlRpMl4n8uadg,2018-02-14,Joy Bryant,,4,8015,"Joy Bryant (Parenthood, Good Girls Revolt, Antwone Fisher) is an actress, writer, model and played Dax's TV wife for 6 years on NBC's Parenthood. In this episode of Armchair Expert, Joy and Dax touch on their favorite subject: race in America. They also discuss their sense memory of government cheese, how humans code switch to match their environment, the sociological experience of doing drugs and how to reframe negative perspectives of their childhood. Most importantly they acknowledge their mutual appreciation for sleeping with celebrities."
2FTlfXJQY6aJ4OZ6Dbwl7G,2018-02-19,Jimmy Kimmel,,5,7132,"Jimmy Kimmel (Jimmy Kimmel Live, The Man Show, Win Ben Stein's Money) is a late night host, comedian and one of Dax's best friends who he never sees. In this episode of Armchair Expert, Dax and Jimmy discuss the origin of Jimmy Kimmel Live and why tomatoes are fascinating. Jimmy recounts how he accidentally learned to play the clarinet, the time he willed a tsunami into existence and he reveals Dax's next birthday present. Dax talks about his scariest adult moment to date and how Jimmy is getting better looking by the second. They discuss the experience of using their platforms for political exposure and Dax re-lives the moment when he realized with certainty: Jimmy Kimmel is mean."
5ii05SMgysNKvkOzbht0Ef,2018-02-26,Pete Wentz,,6,7866,"Pete Wentz (Fall Out Boy) is an American musician and the kindest rock star Dax has ever known. In this episode of Armchair Expert, Pete sits down with Dax to examine his journey as a young musician, he explains how his son pulled him out of a depression and he tells the story of how James Gandolfini accidentally promoted his new bar. Dax talks about hitting his rock bottom in Hawaii and Pete reveals his connection to Muhammad Ali. They explore what it's like to be a normal person turned role model, the inevitable infantilization that accompanies fame, how to balance artistic integrity and supplying a product, and Dax struggles to uncover Fall Out Boy's vice."
3r5bMpGEglGNbFH3ZCR35Q,2018-03-05,Adam Scott,,7,6356,"Adam Scott (Parks and Recreation, Big Little Lies, Step Brothers) is an actor, producer and genuinely one of the nicest people Dax has ever hated. Adam sits down with the armchair expert to discuss how he fell backwards into comedy after seeking a career in dramatic acting, his hero worship of Spike Lee and the two of them discuss why they had a mutual unappreciation for the other before they met. Dax tells the story of how he unpredictably ended up on Letterman and Adam speaks about his struggle with self-worth and recognizability. They examine their differing perspectives on being a younger sibling, Dax commends Adam for taking on projects he loves and they both agree, unequivocally, that Will Ferrell is the greatest."
4ZwVopjfEfb8nVn81nmLqf,2018-03-12,Ellen DeGeneres,,8,3114,"Ellen DeGeneres (Ellen, The Ellen DeGeneres show) is an American comedian, daytime talk show host, actress, writer, producer and one of Dax's true loves. Ellen sits down with Dax in her podcast debut to discuss getting invited to Johnny Carson's couch, reinventing a career at age 45 and the fall out of her public coming out. Dax admits men are disgusting and Ellen reveals she questioned whether she would make it to adulthood. They talk about what its like to be an unintentional advocate for an entire community, the need to be free from secrets and Dax makes a public declaration that he'd like to kiss Ellen more."
1NSDWG4xI0pBncaTRtCpY9,2018-03-19,Van Hunt,,9,7823,"Van Hunt is an American singer, songwriter, multi-instrumentalist, record producer and one of Dax's longtime obsessions. Van sits down with the armchair expert to discuss his colorful upbringing, his unconventional musical process and the connection between music and comedy. The two of them bond over a history of strong mothers and they ask the question scholars have been debating since the beginning of time: are blind people really blind? Van explains his acceptance of never fitting into a box and Dax practically croaks as Van sings live for the podcast. Monica and Dax debate a controversial topic during the fact check and yet they still like each other at the end of it. Thus, proving the impossible- respectful disagreement can exist!"
45R04dBBGYQ8FESWKWq9j2,2018-03-26,Anna Faris,,10,6373,"Anna Faris (Scary Movie, The House Bunny, Mom, Anna Faris is Unqualified Podcast) is an American actress, producer and comedian. Anna and Dax crack open a can of Redbull and discuss honesty in parenting, becoming the mayor of The Grove shopping mall and gender roles in partnerships. Dax reveals the details of his open relationship and Anna questions the potential negative effect of pornography. The two of them dissect the pay disparity between men and women, the expectations that come with being in a #couplegoals relationship and Dax tells the story of how they were both sent to Hawaii to eat a piece of chocolate."
